Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
TREF_range global MERRA2,K,3.603,999.999,999.999,3.814,999.999,999.999,999.999
PminusE global GPCP_OAFLux,mm/day,-0.0,999.999,999.999,2.272,999.999,999.999,999.999
PminusE global COREv2_Flux,mm/day,-0.0,999.999,999.999,2.272,999.999,999.999,999.999
TCO global OMI-MLS,DU,28.85,999.999,999.999,5.468,999.999,999.999,999.999
TCO 60S60N OMI-MLS,DU,29.719,999.999,999.999,4.836,999.999,999.999,999.999
_ABURDENDUST global ,1e-6 kg/m2,54.016,999.999,999.999,123.885,999.999,999.999,999.999
_ABURDENBC global ,1e-6 kg/m2,0.287,999.999,999.999,0.376,999.999,999.999,999.999
_ABURDENSOA global ,1e-6 kg/m2,5.282,999.999,999.999,6.683,999.999,999.999,999.999
_ABURDENPOM global ,1e-6 kg/m2,1.653,999.999,999.999,2.023,999.999,999.999,999.999
_ABURDENSEASALT global ,1e-6 kg/m2,15.943,999.999,999.999,10.272,999.999,999.999,999.999
_ABURDENSO4 global ,1e-6 kg/m2,7.461,999.999,999.999,3.396,999.999,999.999,999.999
_ABURDENSO4_STR global ,1e-6 kg/m2,2.346,999.999,999.999,1.005,999.999,999.999,999.999
_ABURDENSO4_TRO global ,1e-6 kg/m2,5.114,999.999,999.999,2.963,999.999,999.999,999.999
_Mass_bc_srf global ,1e-12 kg/kg,117.221,999.999,999.999,311.928,999.999,999.999,999.999
_Mass_ncl_srf global ,1e-12 kg/kg,9561.975,999.999,999.999,7101.26,999.999,999.999,999.999
_Mass_so4_srf global ,1e-12 kg/kg,1114.689,999.999,999.999,908.741,999.999,999.999,999.999
_Mass_dst_srf global ,1e-12 kg/kg,23201.259,999.999,999.999,72202.088,999.999,999.999,999.999
_Mass_pom_srf global ,1e-12 kg/kg,562.456,999.999,999.999,1265.391,999.999,999.999,999.999
_Mass_soa_srf global ,1e-12 kg/kg,929.547,999.999,999.999,1879.931,999.999,999.999,999.999
_Mass_mom_srf global ,1e-12 kg/kg,141.228,999.999,999.999,119.275,999.999,999.999,999.999
_Mass_bc_850 global ,1e-12 kg/kg,71.698,999.999,999.999,133.809,999.999,999.999,999.999
_Mass_ncl_850 global ,1e-12 kg/kg,3795.703,999.999,999.999,2536.925,999.999,999.999,999.999
_Mass_so4_850 global ,1e-12 kg/kg,987.929,999.999,999.999,834.232,999.999,999.999,999.999
_Mass_dst_850 global ,1e-12 kg/kg,15825.715,999.999,999.999,43867.988,999.999,999.999,999.999
_Mass_pom_850 global ,1e-12 kg/kg,412.274,999.999,999.999,723.851,999.999,999.999,999.999
_Mass_soa_850 global ,1e-12 kg/kg,962.386,999.999,999.999,1786.393,999.999,999.999,999.999
_Mass_mom_850 global ,1e-12 kg/kg,69.545,999.999,999.999,39.455,999.999,999.999,999.999
_Mass_bc_330 global ,1e-12 kg/kg,13.66,999.999,999.999,9.078,999.999,999.999,999.999
_Mass_ncl_330 global ,1e-12 kg/kg,195.898,999.999,999.999,132.229,999.999,999.999,999.999
_Mass_so4_330 global ,1e-12 kg/kg,426.797,999.999,999.999,237.527,999.999,999.999,999.999
_Mass_dst_330 global ,1e-12 kg/kg,1554.792,999.999,999.999,2518.381,999.999,999.999,999.999
_Mass_pom_330 global ,1e-12 kg/kg,77.001,999.999,999.999,36.995,999.999,999.999,999.999
_Mass_soa_330 global ,1e-12 kg/kg,475.878,999.999,999.999,311.884,999.999,999.999,999.999
_Mass_mom_330 global ,1e-12 kg/kg,7.929,999.999,999.999,5.025,999.999,999.999,999.999
